Rank,Location,Population,Changes,Area,Population density
110,Denmark,"5,534,738",,"42,931",0
111,Turkmenistan,"5,479,800",3,"491,210",0
112,Slovakia,"5,424,925",1,"49,035",0
113,Kyrgyzstan,"5,418,300",1,"199,951",0
114,Finland,"5,351,427",1,"338,424",0
115,Eritrea,"5,223,994",4,"117,600",0
116,Singapore,"5,076,700",5,721.5,7036
117,Norway,"4,858,199",2,"385,203",0
118,Costa Rica,"4,563,539",2,"51,100",0
119,Central African Republic,"4,505,945",4,"622,984",0
120,Ireland,"4,467,854",3,"70,273",0
121,‹See RfD›Georgia,"4,436,391",3,"69,700",0
122,Croatia,"4,425,747",6,"56,594",0
123,New Zealand,"4,367,800",1,"268,021",0
124,Liberia,"4,101,767",8,"111,369",0
125,Palestine,"4,048,403",3,"6,020",0
126,Bosnia and Herzegovina,"3,844,046",1,"51,129",0
127,Lebanon,"3,785,655",2,"10,452",0
128,Republic of the Congo,"3,758,678",3,"342,000",0
129,Puerto Rico,"3,721,978",3,"9,104",0
130,Kuwait,"3,566,437",7,"17,818",0
131,Moldova,"3,563,695",,"33,846",0
132,Panama,"3,504,483",,"75,417",0
133,Uruguay,"3,356,584",,"176,215",0
134,Lithuania,"3,329,039",,"65,300",0
135,Armenia,"3,249,482",,"29,743",0
136,Mauritania,"3,217,383",,"1,030,000",0
137,Albania,"3,195,000",,"28,748",0
138,Mongolia,"2,780,800",,"1,566,000",0
139,Oman,"2,773,479",,"309,500",0
140,Jamaica,"2,701,200",,"10,991",0
141,Latvia,"2,248,374",,"64,589",0
142,Namibia,"2,212,037",,"825,615",0
143,Kosovo,"2,208,107",,"10,908",0
144,Macedonia,"2,052,722",,"25,713",0
145,Slovenia,"2,046,976",,"20,273",0
146,Botswana,"2,029,307",,"581,730",0
147,Lesotho,"1,891,830",,"30,355",0
148,Gambia,"1,750,732",,"10,689",0
149,Qatar,"1,699,435",,"11,581",0
150,Guinea-Bissau,"1,647,380",,"36,125",0
151,Gabon,"1,501,266",,"267,667",0
152,Estonia,"1,340,127",,"45,227",0
153,Trinidad and Tobago,"1,317,714",,"5,131",0
154,Equatorial Guinea,"1,313,000",,"28,050",0
155,Mauritius,"1,283,415",,"2,040",0
156,Bahrain,"1,234,571",,765.3,0
157,Timor-Leste,"1,149,028",,,0
158,Cyprus,"1,102,677",,,0
159,Swaziland,"1,055,506",,,0
160,Djibouti,"879,053",,,0
161,Fiji,"850,700",,,0
162,Réunion,"828,054",,,0
163,Guyana,"761,442",,,0
164,Bhutan,"695,822",,,0
165,Comoros,"675,000",,,0
166,Montenegro,"616,411",,,0
167,Macau,"552,300",,,0
168,Suriname,"531,170",,,0
169,Solomon Islands,"530,669",,,0
170,Western Sahara,"530,000",,,0
171,Cape Verde,"512,582",,,0
172,Luxembourg,"502,066",,,0
173,Brunei,"414,400",,,0
174,Malta,"414,372",,,0
175,Guadeloupe,"404,394",,,0
176,Martinique,"399,637",,,0
177,Bahamas,"353,658",,,0
178,Maldives,"319,738",,,0
179,Iceland,"317,630",,,0
180,Belize,"312,971",,,0
181,Barbados,"276,300",,,0
182,French Polynesia,"267,000",,,0
183,New Caledonia,"248,000",,,0
184,Vanuatu,"245,036",,,0
185,French Guiana,"232,223",,,0
186,Mayotte,"202,000",,,0
187,Samoa,"183,123",,,0
188,Guam,"180,865",,,0
189,Saint Lucia,"174,000",,,0
190,São Tomé and Príncipe,"165,397",,,0
191,Curacao,"142,180",,,0
192,Grenada,"109,553",,,0
193,Saint Vincent and the Grenadines,"109,284",,,0
194,U.S. Virgin Islands,"106,267",,,0
195,Tonga,"103,365",,,0
196,Micronesia,"102,624",,,0
197,Aruba,"101,484",,,0
198,Kiribati,"100,835",,,0
