Rank,Location,Population,Changes,Area,Population density
149,Qatar,"1,699,435",,"11,581",0
150,Guinea-Bissau,"1,647,380",,"36,125",0
151,Gabon,"1,501,266",,"267,667",0
152,Estonia,"1,340,127",,"45,227",0
153,Trinidad and Tobago,"1,317,714",,"5,131",0
154,Equatorial Guinea,"1,313,000",,"28,050",0
155,Mauritius[6],"1,283,415",,"2,040",0
156,Bahrain,"1,234,571",,765.3,0
157,Timor-Leste,"1,149,028",,,0
158,Cyprus[7],"1,102,677",,,0
159,Swaziland,"1,055,506",,,0
160,Djibouti,"879,053",,,0
161,Fiji,"850,700",,,0
162,Réunion,"828,054",,,0
163,Guyana,"761,442",,,0
164,Bhutan,"695,822",,,0
165,Comoros,"675,000",,,0
166,Montenegro,"616,411",,,0
167,Macau,"552,300",,,0
168,Suriname,"531,170",,,0
169,Solomon Islands,"530,669",,,0
170,Western Sahara,"530,000",,,0
171,Cape Verde,"512,582",,,0
172,Luxembourg,"502,066",,,0
173,Brunei,"414,400",,,0
174,Malta,"414,372",,,0
175,Guadeloupe,"404,394",,,0
176,Martinique,"399,637",,,0
177,Bahamas,"353,658",,,0
178,Maldives,"319,738",,,0
179,Iceland,"317,630",,,0
180,Belize,"312,971",,,0
181,Barbados,"276,300",,,0
182,French Polynesia,"267,000",,,0
183,New Caledonia,"248,000",,,0
184,Vanuatu,"245,036",,,0
185,French Guiana,"232,223",,,0
186,Mayotte,"202,000",,,0
187,Samoa,"183,123",,,0
188,Guam,"180,865",,,0
189,Saint Lucia,"174,000",,,0
190,São Tomé and Príncipe,"165,397",,,0
191,Curacao,"142,180",,,0
192,Grenada,"109,553",,,0
193,Saint Vincent and the Grenadines,"109,284",,,0
194,U.S. Virgin Islands,"106,267",,,0
195,Tonga,"103,365",,,0
196,Micronesia,"102,624",,,0
197,Aruba,"101,484",,,0
198,Kiribati,"100,835",,,0
